col1,col2,col3,col4,col5
0.94917918,0.928569932,1.251634009,2,1
0.347412891,0.421873859,0.031035398,5,2
-0.254611753,0.449668746,0.124791205,5,1
-1.345921388,0.687091599,1.444043497,6,0
-1.392609615,0.371137894,0.06715558,8,2
-1.92204541,0.062952657,0.109980895,5,1
-0.149735304,0.701644739,0.244684353,5,2
1.200958124,0.924163537,1.463039368,8,1
0.01365415,0.713112355,0.231801035,5,2
1.003535097,0.292800149,2.820253675,6,1
0.635365604,0.464533065,0.679425206,7,2
-0.152027612,0.563251588,0.536172928,3,1
-1.501419097,0.973088231,0.949629292,3,2
-0.725246256,0.03984822,0.325853021,5,0
-0.645294071,0.828483151,0.434903427,4,2
1.309432198,0.233572241,0.645327482,4,1
1.411163504,0.357619168,0.178734028,5,0
-1.235057851,0.100162978,1.440433325,4,1
-0.94745176,0.357864955,2.221674862,4,0
2.104231318,0.76220556,0.386627102,5,1
-0.295876581,0.792504953,0.629198896,7,0
-1.117438312,0.416131475,0.282547287,6,2
-0.092200939,0.643662874,1.352856152,6,1
0.236288671,0.368555501,0.139460674,6,1
0.63156713,0.274328538,2.742324707,8,2
-0.30716689,0.999657452,0.973440927,4,1
-0.442252795,0.160863338,0.11343141,6,1
1.39431403,0.834857111,1.612643952,5,0
0.149698326,0.81674731,0.298767916,3,0
-1.081279003,0.449025306,0.605948738,3,1
-0.864255657,0.337286668,0.689961451,10,0
-1.419225375,0.031001752,0.948355676,5,0
0.049297131,0.93842004,3.445957315,4,1
1.026194971,0.482258413,1.422980138,6,1
-1.213254153,0.359860721,0.361995919,6,0
-1.872160967,0.992851059,0.774371525,3,1
-0.510574345,0.847360369,2.066232181,6,1
0.19537819,0.359508177,0.567287603,6,0
-0.235987733,0.500390991,0.446490776,6,2
1.064465911,0.959592247,6.088710713,6,1
-0.654674934,0.315141259,3.826549891,6,3
0.647369431,0.470297546,0.614623621,6,1
0.593708633,0.842911703,0.107783585,6,3
-0.806903138,0.578129345,1.623270106,4,3
0.161556674,0.733300901,0.116981161,5,0
-0.256750623,0.977836646,0.249769502,6,1
-0.848214184,0.11261447,1.389241529,6,0
-2.964334534,0.080775509,0.729568959,5,2
0.703583221,0.719295899,0.060964752,6,0
0.316508863,0.838006061,1.848197146,4,0
-0.494976487,0.025364631,0.98650568,7,0
-0.336389502,0.188054605,0.146923525,10,2
-0.92120319,0.231594446,0.338782497,6,1
-1.880228709,0.569097734,1.473497429,4,2
-1.132305765,0.210825542,0.723379098,3,1
0.605633356,0.930816128,0.003105975,3,2
0.649524307,0.501802365,1.318553139,10,1
-1.240877265,0.319448582,0.718914707,4,1
-0.399139302,0.635925674,1.530438122,3,0
1.412288507,0.727774477,0.963147347,3,0
0.58771785,0.503370138,0.311871565,2,1
-0.234000931,0.489593385,1.186492252,7,4
0.62030285,0.305854314,2.488361668,4,0
0.353979095,0.62131242,0.22446201,6,1
0.971533348,0.125751087,0.855150558,7,3
1.762239647,0.994440361,1.494713652,5,0
0.221114906,0.150314289,0.779707036,4,0
1.317058358,0.809700565,0.366343904,5,0
1.004350558,0.461058893,3.025935256,4,0
1.19478392,0.509806883,1.828168262,5,0
0.306956487,0.828355475,1.588099279,6,1
-1.256413693,0.010456169,3.228011274,7,0
0.422640903,0.287975742,0.292577374,8,2
0.289912741,0.150602632,0.273864106,6,0
-0.795948596,0.823818903,0.147079459,6,2
-0.219184843,0.486411975,0.813108053,5,1
0.516434413,0.712959276,0.455372395,6,1
0.002587644,0.143302583,1.841777349,5,0
